2021-02-19 10:02:29,"b'RT @orlandobenitezm: Llegamos ahora a la Cl\xc3\xadnica Materno Infantil Casa del Ni\xc3\xb1o, aqu\xc3\xad tambi\xc3\xa9n entregaremos dosis de la vacuna contra el #Co\xe2\x80\xa6'"
2021-02-19 10:02:27,b'RT @profarmgipuzkoa: Nos alegramos mucho por todos los compa\xc3\xb1eros #farmac\xc3\xa9uticos comunitarios que est\xc3\xa1n siendo vacunados en otras provincia\xe2\x80\xa6'
2021-02-19 10:02:26,b'RT @profarmgipuzkoa: Nos alegramos mucho por todos los compa\xc3\xb1eros #farmac\xc3\xa9uticos comunitarios que est\xc3\xa1n siendo vacunados en otras provincia\xe2\x80\xa6'
2021-02-19 10:02:22,b'RT @JacquelinePSUV: Hoy es un d\xc3\xada hist\xc3\xb3rico para nuestro pa\xc3\xads iniciamos la primera oleada de vacunaci\xc3\xb3n de la vacuna Rusa #SputnikV para co\xe2\x80\xa6'
2021-02-19 10:02:15,b'RT @frannajoes: Los #enfermoscronicos no son una agrupaci\xc3\xb3n si no los hacemos visibles seguir\xc3\xa1n muriendo contagiados por #COVID19 \nS\xc3\xbamate a\xe2\x80\xa6'
2021-02-19 10:02:12,b'RT @circulodempresa: \xe2\xad\x95Urge evitar que crisis de #liquidez derivada de #COVID19 se convierta en crisis de #insolvencia para #empresas.\n\n\xf0\x9f\x91\x89No\xe2\x80\xa6'
2021-02-19 10:02:05,b'Nos alegramos mucho por todos los compa\xc3\xb1eros #farmac\xc3\xa9uticos comunitarios que est\xc3\xa1n siendo vacunados en otras provin\xe2\x80\xa6 https://t.co/xFqUTwko6l'
2021-02-19 10:02:02,b'RT @Elinfermera: Primer d\xc3\xada de vacuna #COVID19 en el #CAPLaMina superado \xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3! Empezamos con personas dependientes que viven en su domicilio\xe2\x80\xa6'
2021-02-19 10:01:58,"b'RT @EmbajadaRusaVen: \xf0\x9f\x92\xaaA pesar de las sanciones ilegales y el bloqueo de las cuentas bancarias, #Venezuela avanza en su lucha contra el #COV\xe2\x80\xa6'"
2021-02-19 10:01:56,b'RT @JacquelinePSUV: Hoy es un d\xc3\xada hist\xc3\xb3rico para nuestro pa\xc3\xads iniciamos la primera oleada de vacunaci\xc3\xb3n de la vacuna Rusa #SputnikV para co\xe2\x80\xa6'
